FID	ETHNIC_GROUP
1	0
2	0
3	2
4	2
5	0
6	2
7	1
8	3
9	1
10	2
11	0
12	2
13	2
14	3
15	0
16	1
17	0
18	1
19	2
20	2
21	0
22	1
23	0
24	3
25	3
26	1
27	2
28	2
29	0
30	2
31	3
32	0
33	1
34	0
35	3
36	0
37	3
38	1
39	3
40	1
41	0
42	0
43	1
44	0
45	1
46	2
47	0
48	0
49	2
50	0
51	3
52	2
53	2
54	0
55	1
56	2
57	0
58	0
59	2
60	0
61	1
62	0
63	2
64	1
65	3
66	1
67	3
68	2
69	0
70	0
71	1
72	0
73	0
74	2
75	2
76	3
77	2
78	1
79	1
80	0
81	3
82	2
83	3
84	3
85	3
86	3
87	0
88	2
89	3
90	0
91	3
92	0
93	3
94	2
95	3
96	2
97	3
98	1
99	3
100	2
101	2
102	0
103	1
104	3
105	0
106	2
107	3
108	2
109	2
110	0
111	2
112	2
113	0
114	1
115	0
116	2
117	0
118	3
119	0
120	3
121	0
122	1
123	2
124	3
125	0
126	3
127	1
128	3
129	1
130	1
131	2
132	1
133	1
134	1
135	0
136	0
137	0
138	1
139	3
140	2
141	2
142	0
143	2
144	2
145	2
146	2
147	3
148	1
149	1
150	1
151	3
152	3
153	3
154	1
155	0
156	0
157	1
158	3
159	2
160	0
161	0
162	3
163	1
164	1
165	3
166	2
167	1
168	1
169	3
170	1
171	2
172	3
173	1
174	0
175	0
176	0
177	0
178	3
179	1
180	1
181	0
182	0
183	2
184	3
185	3
186	3
187	2
188	1
189	3
190	0
191	1
192	0
193	1
194	2
195	3
196	0
197	0
198	1
199	2
200	1
201	2
202	1
203	1
204	2
205	2
206	3
207	0
208	1
209	2
210	0
211	0
212	2
213	3
214	1
215	1
216	0
217	0
218	2
219	3
220	0
221	1
222	3
223	2
224	0
225	1
226	3
227	2
228	0
229	1
230	3
231	1
232	1
233	3
234	0
235	1
236	2
237	2
238	1
239	1
240	0
241	0
242	0
243	1
244	2
245	2
246	2
247	2
248	1
249	1
250	0
251	0
252	3
253	2
254	1
255	3
256	3
257	1
258	0
259	3
260	1
261	3
262	1
263	0
264	1
265	0
266	1
267	2
268	3
269	3
270	1
271	2
272	1
273	0
274	2
275	2
276	3
277	2
